regionName,region,regionLongName,LR,Lobe,LR_lobe_regionName,IC,performance,volmm3,scan1,scan2,scan3,scan4,ScanCount
SFG_R,SFG,Superior_Frontal_Gyrus_R,R,Fr,R_Fr_SFG,3,high,19296,0.0029,0.000697,0.001204,0.001133,4
SFG_R,SFG,Superior_Frontal_Gyrus_R,R,Fr,R_Fr_SFG,3,low,19296,0.001271,0.001723,0.003308,0.001213,4
SFG_R,SFG,Superior_Frontal_Gyrus_R,R,Fr,R_Fr_SFG,4,high,19296,,0.000555,,,1
SFG_R,SFG,Superior_Frontal_Gyrus_R,R,Fr,R_Fr_SFG,4,low,19296,,0.000371,,,1
SMA_L,SMA,Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)_L,L,Fr,L_Fr_SMA,4,high,5104,0.001601,0.000616,0.000729,0.000351,4
SMA_L,SMA,Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)_L,L,Fr,L_Fr_SMA,4,low,5104,0.00047,0.000987,0.002232,0.000878,4
SMA_R,SMA,Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)_R,R,Fr,R_Fr_SMA,4,high,5728,,0.000734,0.001239,0.000349,3
SMA_R,SMA,Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)_R,R,Fr,R_Fr_SMA,4,low,5728,,0.000875,0.002534,0.001013,3
SMG_ant_L,SMG_ant,Supramarginal_Gyrus_anterior_L,L,Par,L_Par_SMG_ant,2,high,7568,0.002375,0.000539,,0.000608,3
SMG_ant_L,SMG_ant,Supramarginal_Gyrus_anterior_L,L,Par,L_Par_SMG_ant,2,low,7568,0.000731,0.002609,,0.002428,3
SMG_ant_L,SMG_ant,Supramarginal_Gyrus_anterior_L,L,Par,L_Par_SMG_ant,4,high,7568,,0.000365,,,1
SMG_ant_L,SMG_ant,Supramarginal_Gyrus_anterior_L,L,Par,L_Par_SMG_ant,4,low,7568,,0.000381,,,1
SMG_post_L,SMG_post,Supramarginal_Gyrus_posterior_L,L,Par,L_Par_SMG_post,2,high,8416,0.002931,0.000789,,0.000938,3
SMG_post_L,SMG_post,Supramarginal_Gyrus_posterior_L,L,Par,L_Par_SMG_post,2,low,8416,0.001618,0.003036,,0.003005,3
SMG_post_L,SMG_post,Supramarginal_Gyrus_posterior_L,L,Par,L_Par_SMG_post,3,high,8416,,0.000518,,0.000425,2
SMG_post_L,SMG_post,Supramarginal_Gyrus_posterior_L,L,Par,L_Par_SMG_post,3,low,8416,,0.000638,,0.000373,2
SMG_post_L,SMG_post,Supramarginal_Gyrus_posterior_L,L,Par,L_Par_SMG_post,4,high,8416,,0.000275,,0.000186,2
SMG_post_L,SMG_post,Supramarginal_Gyrus_posterior_L,L,Par,L_Par_SMG_post,4,low,8416,,0.000559,,0.000443,2
SMG_post_R,SMG_post,Supramarginal_Gyrus_posterior_R,R,Par,R_Par_SMG_post,3,high,9656,,0.000656,0.000924,0.000784,3
SMG_post_R,SMG_post,Supramarginal_Gyrus_posterior_R,R,Par,R_Par_SMG_post,3,low,9656,,0.00145,0.001359,0.000835,3
SPL_R,SPL,Superior_Parietal_Lobule_R,R,Par,R_Par_SPL,3,high,11672,,0.000418,,0.000451,2
SPL_R,SPL,Superior_Parietal_Lobule_R,R,Par,R_Par_SPL,3,low,11672,,0.000844,,0.000725,2
STG_ant_L,STG_ant,Superior_Temporal_Gyrus_anterior_L,L,Temp,L_Temp_STG_ant,1,high,2024,0.004226,0.001478,0.00236,0.000563,4
STG_ant_L,STG_ant,Superior_Temporal_Gyrus_anterior_L,L,Temp,L_Temp_STG_ant,1,low,2024,0.001064,0.005493,0.003113,0.003571,4
STG_ant_L,STG_ant,Superior_Temporal_Gyrus_anterior_L,L,Temp,L_Temp_STG_ant,3,high,2024,,0.000292,,,1
STG_ant_L,STG_ant,Superior_Temporal_Gyrus_anterior_L,L,Temp,L_Temp_STG_ant,3,low,2024,,0.000798,,,1
STG_ant_R,STG_ant,Superior_Temporal_Gyrus_anterior_R,R,Temp,R_Temp_STG_ant,1,high,2144,0.004145,0.001151,0.003028,0.000405,4
STG_ant_R,STG_ant,Superior_Temporal_Gyrus_anterior_R,R,Temp,R_Temp_STG_ant,1,low,2144,0.001202,0.005148,0.002988,0.004111,4
